原始项目名称,原始申报地区,原始批次,原始类别,来源类型,来源说明,清洗动作,坐标处理说明,关键词处理说明,清洗后项目名称,清洗后省级地区,清洗后地级/县级地区,清洗后批次,清洗后类别,经度,纬度,视觉关键词
方正剪纸,哈尔滨方正县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,方正剪纸,黑龙江,哈尔滨方正县,第二批扩展,传统美术,128.84,45.83,东北民俗;冰雪;窗花
上海剪纸,徐汇区,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,上海剪纸,上海,徐汇区,第二批扩展,传统美术,121.44,31.19,都市民俗;海派;精细线条
南京剪纸,南京市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,南京剪纸,江苏,南京市,第二批扩展,传统美术,118.80,32.06,金陵文化;花鸟;历史纹样
徐州剪纸,徐州市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,徐州剪纸,江苏,徐州市,第二批扩展,传统美术,117.29,34.20,汉文化;民间故事;粗细结合
金坛刻纸,常州金坛区,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,金坛刻纸,江苏,常州金坛区,第二批扩展,传统美术,119.60,31.72,刻纸;江南;精细纹理
浦江剪纸,金华浦江县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,浦江剪纸,浙江,金华浦江县,第二批扩展,传统美术,119.89,29.45,江南窗花;戏曲;花卉
阜阳剪纸,阜阳市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,阜阳剪纸,安徽,阜阳市,第二批扩展,传统美术,115.82,32.89,淮河民俗;人物;花鸟
漳浦剪纸,漳州漳浦县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,漳浦剪纸,福建,漳州漳浦县,第二批扩展,传统美术,117.61,24.12,闽南民俗;海洋;花卉
泉州李尧宝刻纸,泉州市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,泉州李尧宝刻纸,福建,泉州市,第二批扩展,传统美术,118.68,24.87,刻纸;闽南;宗教纹样
柘荣剪纸,宁德柘荣县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,柘荣剪纸,福建,宁德柘荣县,第二批扩展,传统美术,119.90,27.24,山地民俗;花鸟;细线
瑞昌剪纸,九江瑞昌市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,瑞昌剪纸,江西,九江瑞昌市,第二批扩展,传统美术,115.67,29.68,赣北民俗;戏曲;窗花
莒县过门笺,日照莒县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,莒县过门笺,山东,日照莒县,第二批扩展,传统美术,118.84,35.58,过门笺;节庆;纸帘
滨州民间剪纸,滨州市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,滨州民间剪纸,山东,滨州市,第二批扩展,传统美术,117.97,37.38,鲁北民俗;花鸟;吉祥
高密剪纸,潍坊高密市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,高密剪纸,山东,潍坊高密市,第二批扩展,传统美术,119.76,36.38,高密三绝;粗犷;民俗
烟台剪纸,烟台市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,烟台剪纸,山东,烟台市,第二批扩展,传统美术,121.45,37.46,胶东民俗;海洋;窗花
灵宝剪纸,三门峡灵宝市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,灵宝剪纸,河南,三门峡灵宝市,第二批扩展,传统美术,110.89,34.52,豫西民俗;农耕;吉祥纹
卢氏剪纸,三门峡卢氏县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,卢氏剪纸,河南,三门峡卢氏县,第二批扩展,传统美术,111.05,34.05,山地民俗;花鸟;信俗
辉县剪纸,新乡辉县市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,辉县剪纸,河南,新乡辉县市,第二批扩展,传统美术,113.80,35.46,中原民俗;人物;窗花
孝感雕花剪纸,孝感孝南区,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,孝感雕花剪纸,湖北,孝感孝南区,第二批扩展,传统美术,113.91,30.92,雕花;楚文化;花卉
鄂州雕花剪纸,鄂州市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,鄂州雕花剪纸,湖北,鄂州市,第二批扩展,传统美术,114.89,30.39,雕花;水乡;吉祥纹
仙桃雕花剪纸,仙桃市,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,仙桃雕花剪纸,湖北,仙桃市,第二批扩展,传统美术,113.45,30.36,雕花;荆楚;婚俗
踏虎凿花,湘西泸溪县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,踏虎凿花,湖南,湘西泸溪县,第二批扩展,传统美术,110.22,28.22,凿花;苗乡;几何纹
苗族剪纸,黔东南剑河县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,苗族剪纸,贵州,黔东南剑河县,第二批扩展,传统美术,108.44,26.73,苗族纹样;蝴蝶妈妈;银饰感
庆阳剪纸,庆阳镇原县,第二批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,庆阳剪纸,甘肃,庆阳镇原县,第二批扩展,传统美术,107.20,35.68,陇东民俗;生命树;黄土
包头剪纸,包头市,第三批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,包头剪纸,内蒙古,包头市,第三批扩展,传统美术,109.84,40.66,草原城市;窗花;动物
新干剪纸,吉安新干县,第三批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,新干剪纸,江西,吉安新干县,第三批扩展,传统美术,115.39,27.74,赣中民俗;花鸟;节庆
延川剪纸,延安延川县,第三批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,延川剪纸,陕西,延安延川县,第三批扩展,传统美术,110.19,36.88,陕北民俗;黄河;生命纹
旬邑彩贴剪纸,咸阳旬邑县,第三批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,旬邑彩贴剪纸,陕西,咸阳旬邑县,第三批扩展,传统美术,108.33,35.11,彩贴;秦地民俗;多色
会宁剪纸,白银会宁县,第三批扩展,传统美术,公开名录人工整理,依据中国非物质文化遗产网国家级非遗代表性项目名录公开信息整理；地理与背景信息参考公开行政区资料和UNESCO中国剪纸项目介绍。,筛选剪纸/刻纸/凿花/过门笺相关项目；统一地区、批次和传统美术类别字段；补充坐标与视觉关键词。,按申报地或代表性传承地近似定位，仅用于信息可视化表达，不作为测绘坐标。,从项目名称、地域、民族和纹样特征中人工提炼，用于连接模块A统计分析和模块B生成艺术。,会宁剪纸,甘肃,白银会宁县,第三批扩展,传统美术,105.05,35.69,陇中民俗;红色文化;窗花
